APP_ID,CODE,NAME,SOURCE_CODE,TARGET_CODE,FLAG
ecc-ei,1,开始流调,#,1,0
ecc-ei,2,提交流调个案,1,2,0
ecc-ei,3,提交报告,2,3,0
ecc-ei,4,撤回,2,1,0
ecc-ei,5,通过,3,4,0
ecc-ei,6,不通过,3,5,0
ecc-ei,7,撤回,3,1,0
ecc-ei,8,提交报告,5,3,0
emergency-control,1,开始流调,#,1,1
emergency-control,10,打回,4,5,1
emergency-control,11,区级撤回,4,3,1
emergency-control,2,提交个案,1,2,1
emergency-control,3,提交报告,2,3,1
emergency-control,4,撤回,3,2,1
emergency-control,5,通过,3,4,1
emergency-control,6,打回,3,5,1
emergency-control,7,撤回,3,2,0
emergency-control,8,提交报告,5,3,1
emergency-control,9,通过,4,6,1
